"Id produit";"Nom";"Référence interne";"Prix";"Prix HT";"Prix barré";"Frais de port";"Ecotaxe";"Monnaie";"Catégorie";"Id catégorie NetAff";"Catégorie marchand";"Url";"Modèle";"Marque";"EAN";"Descriptif";"Garantie";"Disponibilité";"Délais de livraison";"Quantité";"Indicateur de stock";"Indicateur de nouveauté";"Indicateur de promotion";"Indicateur de soldes";"Indicateur de performance";"Url image petite";"Url image moyenne";"Url image grande";"Url de tracking des affichages";"Mots-clés";"Référence constructeur";"Url image marchand"
"7526295141301";"Soutien-gorge noire à balconnets avec bretelles amovibles";"BABL723_85B";"25,10";"0,00";"25,10";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Femme > Soutien-gorge";"7517246471";"Soutien-gorge";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593541301V3";"";"Baci";"4890808093900";"Séduction et polyvalence font que ce soutien-gorge noir à balconnets avec de délicates broderies noires se démarque. La possibilité de positions multiples des bretelles en font un atout sensualité polyvalent qui mettra en valeur celle qui le porte. Taille 85B. Couleur : noir.";"";"";"";"71";"1";"0";"0";"0";"0";"90% Polyester, 10% Elasthanne";"90% Polyester, 10% Elasthanne";"90% Polyester, 10% Elasthanne";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593541301V3";"";"";""
"7526295142259";"String en microfibres et bordure en dentelle pourpre";"BAWC132_L";"8,95";"0,00";"8,95";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542259V3";"";"Baci";"4890808050606";"Un string classique bordé de dentelle fine qui lui donne toute son élégance. Convient à la fois pour tous les jours ainsi que pour les moments intimes avec votre partenaire. Taille L. Couleur : pourpre.";"";"";"";"41";"1";"0";"0";"0";"0";"90% Nylon, 10% Elasthanne";"90% Nylon, 10% Elasthanne";"90% Nylon, 10% Elasthanne";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542259V3";"";"";""
"7526295142333";"G-String framboise en tulle à motifs et jeux de rubans";"BABL1059_M/L";"13,55";"0,00";"13,55";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Femme";"1053703";"Default";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542333V3";"";"Baci";"4890808104217";"G-String framboise en tulle à motifs et jeux de rubans";"";"";"";"0";"0";"0";"0";"0";"0";"90% Nylon, 10% Elasthanne";"90% Nylon, 10% Elasthanne";"90% Nylon, 10% Elasthanne";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542333V3";"";"";""
"7526295142335";"G-String framboise en tulle à motifs et jeux de rubans";"BABL1059_S/M";"13,55";"0,00";"13,55";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Femme";"1053703";"Default";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542335V3";"";"Baci";"4890808104200";"G-String framboise en tulle à motifs et jeux de rubans";"";"";"";"0";"0";"0";"0";"0";"0";"90% Nylon, 10% Elasthanne";"90% Nylon, 10% Elasthanne";"90% Nylon, 10% Elasthanne";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542335V3";"";"";""
"7526295142419";"G-String noir ouvert avec pendentif avec ceinture";"BABL1153_M/L";"9,45";"0,00";"9,45";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Femme";"1053703";"Default";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542419V3";"";"Baci";"4890808106983";"G-String noir ouvert avec pendentif avec ceinture";"";"";"";"0";"0";"0";"0";"0";"0";"90% Polyester, 10% Elasthanne";"90% Polyester, 10% Elasthanne";"90% Polyester, 10% Elasthanne";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542419V3";"";"";""
"7526295142501";"G-String en diamant noir en tulle";"BABL770_M/L";"15,65";"0,00";"15,65";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542501V3";"";"Baci";"4890808094754";"G-String en diamant noir en tulle, . / Taille M/L";"";"";"";"41";"1";"0";"0";"0";"0";"90% Nylon, 10% Elasthanne";"90% Nylon, 10% Elasthanne";"90% Nylon, 10% Elasthanne";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542501V3";"";"";""
"7526295142503";"Culotte en microfibres et dentelle noire";"BABL772_M/L";"15,65";"0,00";"15,65";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542503V3";"";"Baci";"4890808094785";"Culotte en microfibres et dentelle noire, . / Taille";"";"";"";"5";"0";"0";"0";"0";"0";"90% Polyester, 10% Elasthanne";"90% Polyester, 10% Elasthanne";"90% Polyester, 10% Elasthanne";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542503V3";"";"";""
"7526295142527";"G-String blanc en dentelle avec ceinture large";"BABL839_M/L";"10,40";"0,00";"10,40";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542527V3";"";"Baci";"4890808096703";"G-String blanc en dentelle avec ceinture large / Taille";"";"";"";"74";"1";"0";"0";"0";"0";"90% Nylon, 10% Elasthanne";"90% Nylon, 10% Elasthanne";"90% Nylon, 10% Elasthanne";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542527V3";"";"";""
"7526295142535";"G-String en dentelle blanche";"BABL858_M/L";"9,35";"0,00";"9,35";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Homme > Strings";"3223327751";"string";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542535V3";"";"Baci";"4890808097106";"G-String en dentelle blanche, . / Taille M/L";"";"";"";"164";"1";"0";"0";"0";"0";"90% Nylon, 10% Elasthanne";"90% Nylon, 10% Elasthanne";"90% Nylon, 10% Elasthanne";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542535V3";"";"";""
"7526295142771";"Culotte dentelle noire";"BABL1090";"26,25";"0,00";"26,25";"6,90";"0,00";"€";"Mode & Accessoires > Lingerie > Femme > Culottes";"3222279175";"Culottes";"http://action.metaffiliation.com/trk.php?mclic=P466B753FC3113S1UA4593542771V3";"";"Baci";"4890808105047";"Culotte dentelle noire";"";"";"";"0";"1";"0";"0";"0";"0";"";"";"";"http://action.metaffiliation.com/trk.php?maff=P466B753FC3113S1UA4593542771V3";"";"";"http://diz1vnif06id7.cloudfront.net/media/catalog/product/1/0/1090_image_model_front.jpg"
