"Id produit";"Nom";"Référence interne";"Prix";"Prix HT";"Prix barré";"Frais de port";"Ecotaxe";"Monnaie";"Catégorie";"Id catégorie NetAff";"Catégorie marchand";"Url";"Modèle";"Marque";"EAN";"Descriptif";"Garantie";"Disponibilité";"Délais de livraison";"Quantité";"Indicateur de stock";"Indicateur de nouveauté";"Indicateur de promotion";"Indicateur de soldes";"Indicateur de performance";"Url image petite";"Url image moyenne";"Url image grande";"Url de tracking des affichages";"Mots-clés";"Référence constructeur";"Url image marchand"
"753505313191";"Soutien-gorge coque V, Secrète idylle, Noir";"1";"26,00";"21,67";"26,00";"0,00";"0,00";"€";"Mode & Accessoires > Lingerie > Femme";"1053703";"Root > Accueil > Lingerie";"http://action.metaffiliation.com/trk.php?mclic=P488ED53FC3116S1U9467193191V3";"";"VARIANCE";"3131681503775";"**Le quotidien invisible by Variance !**Soutien-gorge en maille opalescente ultra légère & tulle fantaisie féminin.**Noeud plat en gros grain et jeu de plis creux délicatement posés à l'entre-deux.**Une forme coque avec bretelles multi-positions pour s'adapter à tous vos décolletés !**Un thème graphique, esprit smoking.**";"";"Livraison à domicile sous 48 à 72h (hors soldes) après préparation de la commande.";"";"2";"";"0";"0";"0";"0";"http://boutique.variance.fr/img/p/1/2/0/2/1202-large_default.jpg";"http://boutique.variance.fr/img/p/1/2/0/2/1202-large_default.jpg";"http://boutique.variance.fr/img/p/1/2/0/2/1202-large_default.jpg";"http://action.metaffiliation.com/trk.php?maff=P488ED53FC3116S1U9467193191V3";"";"VR000001";"http://boutique.variance.fr/img/p/1/2/0/2/1202-large_default.jpg"
"753505313193";"Soutien-gorge bandeau push up, Secrète idylle, Noir";"2";"26,00";"21,67";"26,00";"0,00";"0,00";"€";"Mode & Accessoires > Lingerie > Femme";"1053703";"Root > Accueil > Lingerie";"http://action.metaffiliation.com/trk.php?mclic=P488ED53FC3116S1U9467193193V3";"";"VARIANCE";"3131681513309";"**L'invisible féminin by Variance ! Un thème graphique, esprit smoking.**Soutien-gorge en maille opalescente ultra légère & tulle fantaisie féminin.**Noeud plat en gros grain et jeu de plis creux délicatement posés à l'entre-deux.**Une forme bandeau push up avec kit de bretelles transparentes qui mettra en valeur votre décolleté !**Astuce: idéal sous une robe bustier !**";"";"Livraison à domicile sous 48 à 72h (hors soldes) après préparation de la commande.";"";"0";"";"0";"0";"0";"0";"http://boutique.variance.fr/img/p/1/1/9/0/1190-large_default.jpg";"http://boutique.variance.fr/img/p/1/1/9/0/1190-large_default.jpg";"http://boutique.variance.fr/img/p/1/1/9/0/1190-large_default.jpg";"http://action.metaffiliation.com/trk.php?maff=P488ED53FC3116S1U9467193193V3";"";"VR000010";"http://boutique.variance.fr/img/p/1/1/9/0/1190-large_default.jpg"
"753505313195";"Soutien-gorge coque galbe rond, Secrète idylle, Noir";"3";"26,00";"21,67";"26,00";"0,00";"0,00";"€";"Mode & Accessoires > Lingerie > Femme";"1053703";"Root > Accueil > Lingerie";"http://action.metaffiliation.com/trk.php?mclic=P488ED53FC3116S1U9467193195V3";"";"VARIANCE";"3131681504444";"**Le quotidien invisible by Variance !**Soutien-gorge en maille opalescente ultra légère & tulle fantaisie féminin.**Noeud plat en gros grain et jeu de plis creux délicatement posés à l'entre-deux.**Une forme coque galbe rond avec un crochet amovible dos nageur.**Astuce: idéal sous un débardeur !**Un thème graphique, esprit smoking.**";"";"Livraison à domicile sous 48 à 72h (hors soldes) après préparation de la commande.";"";"0";"";"0";"0";"0";"0";"http://boutique.variance.fr/img/p/1/1/9/4/1194-large_default.jpg";"http://boutique.variance.fr/img/p/1/1/9/4/1194-large_default.jpg";"http://boutique.variance.fr/img/p/1/1/9/4/1194-large_default.jpg";"http://action.metaffiliation.com/trk.php?maff=P488ED53FC3116S1U9467193195V3";"";"VR000018";"http://boutique.variance.fr/img/p/1/1/9/4/1194-large_default.jpg"
"753505313197";"Slip, Secrète idylle, Noir";"4";"11,00";"9,17";"11,00";"0,00";"0,00";"€";"Mode & Accessoires > Lingerie > Femme";"1053703";"Root > Accueil > Lingerie";"http://action.metaffiliation.com/trk.php?mclic=P488ED53FC3116S1U9467193197V3";"";"VARIANCE";"3131681503478";"**Le quotidien invisible by Variance !**Slip en maille opalescente ultra légère & tulle fantaisie féminin.**Noeud plat en gros grain sur le devant.**Picots fantaisie à la taille.**Un thème graphique, esprit smoking.**";"";"Livraison à domicile sous 48 à 72h (hors soldes) après préparation de la commande.";"";"7";"";"0";"0";"0";"0";"http://boutique.variance.fr/img/p/3/0/7/307-large_default.jpg";"http://boutique.variance.fr/img/p/3/0/7/307-large_default.jpg";"http://boutique.variance.fr/img/p/3/0/7/307-large_default.jpg";"http://action.metaffiliation.com/trk.php?maff=P488ED53FC3116S1U9467193197V3";"";"VR000028";"http://boutique.variance.fr/img/p/3/0/7/307-large_default.jpg"
"753505313199";"Boxer, Secrète idylle, Noir";"5";"12,00";"10,00";"12,00";"0,00";"0,00";"€";"Mode & Accessoires > Lingerie > Femme";"1053703";"Root > Accueil > Lingerie";"http://action.metaffiliation.com/trk.php?mclic=P488ED53FC3116S1U9467193199V3";"";"VARIANCE";"3131681505090";"**Le quotidien invisible by Variance !**Boxer en maille opalescente ultra légère & tulle fantaisie féminin.**Noeud plat en gros grain sur le devant.**Picots fantaisie à la taille.**Un thème graphique, esprit smoking.**";"";"Livraison à domicile sous 48 à 72h (hors soldes) après préparation de la commande.";"";"6";"";"0";"0";"0";"0";"http://boutique.variance.fr/img/p/1/1/8/4/1184-large_default.jpg";"http://boutique.variance.fr/img/p/1/1/8/4/1184-large_default.jpg";"http://boutique.variance.fr/img/p/1/1/8/4/1184-large_default.jpg";"http://action.metaffiliation.com/trk.php?maff=P488ED53FC3116S1U9467193199V3";"";"VR000039";"http://boutique.variance.fr/img/p/1/1/8/4/1184-large_default.jpg"
"753505313215";"Soutien-gorge coque V, Secrète idylle, Blanc";"13";"26,00";"21,67";"26,00";"0,00";"0,00";"€";"Mode & Accessoires > Lingerie > Femme";"1053703";"Root > Accueil > Lingerie";"http://action.metaffiliation.com/trk.php?mclic=P488ED53FC3116S1U9467193215V3";"";"VARIANCE";"3131681537299";"**Le quotidien invisible by Variance !**Soutien-gorge en maille opalescente ultra légère & tulle fantaisie féminin.**Noeud plat en gros grain et jeu de plis creux délicatement posés à l'entre-deux.**Une forme coque avec bretelles multi-positions pour s'adapter à tous vos décolletés !**Un thème graphique, esprit smoking.**";"";"Livraison à domicile sous 48 à 72h (hors soldes) après préparation de la commande.";"";"0";"";"0";"0";"0";"0";"http://boutique.variance.fr/img/p/1/2/6/0/1260-large_default.jpg";"http://boutique.variance.fr/img/p/1/2/6/0/1260-large_default.jpg";"http://boutique.variance.fr/img/p/1/2/6/0/1260-large_default.jpg";"http://action.metaffiliation.com/trk.php?maff=P488ED53FC3116S1U9467193215V3";"";"VR000090";"http://boutique.variance.fr/img/p/1/2/6/0/1260-large_default.jpg"
"753505313217";"Soutien-gorge coque galbe rond, Secrète idylle, Blanc";"14";"26,00";"21,67";"26,00";"0,00";"0,00";"€";"Mode & Accessoires > Lingerie > Femme";"1053703";"Root > Accueil > Lingerie";"http://action.metaffiliation.com/trk.php?mclic=P488ED53FC3116S1U9467193217V3";"";"VARIANCE";"3131681537473";"**Le quotidien invisible by Variance !**Soutien-gorge en maille opalescente ultra légère & tulle fantaisie féminin.**Noeud plat en gros grain et jeu de plis creux délicatement posés à l'entre-deux.**Une forme coque galbe rond avec un crochet amovible dos nageur.**Astuce: idéal sous un débardeur !**Un thème graphique, esprit smoking.**";"";"Livraison à domicile sous 48 à 72h (hors soldes) après préparation de la commande.";"";"0";"";"0";"0";"0";"0";"http://boutique.variance.fr/img/p/1/2/5/2/1252-large_default.jpg";"http://boutique.variance.fr/img/p/1/2/5/2/1252-large_default.jpg";"http://boutique.variance.fr/img/p/1/2/5/2/1252-large_default.jpg";"http://action.metaffiliation.com/trk.php?maff=P488ED53FC3116S1U9467193217V3";"";"VR000099";"http://boutique.variance.fr/img/p/1/2/5/2/1252-large_default.jpg"
"753505313219";"Slip, Secrète idylle, Blanc";"15";"11,00";"9,17";"11,00";"0,00";"0,00";"€";"Mode & Accessoires > Lingerie > Femme";"1053703";"Root > Accueil > Lingerie";"http://action.metaffiliation.com/trk.php?mclic=P488ED53FC3116S1U9467193219V3";"";"VARIANCE";"3131681537022";"**Le quotidien invisible by Variance !**Slip en maille opalescente ultra légère & tulle fantaisie féminin.**Noeud plat en gros grain sur le devant.**Picots fantaisie à la taille.**Un thème graphique, esprit smoking.**";"";"Livraison à domicile sous 48 à 72h (hors soldes) après préparation de la commande.";"";"2";"";"0";"0";"0";"0";"http://boutique.variance.fr/img/p/1/2/4/4/1244-large_default.jpg";"http://boutique.variance.fr/img/p/1/2/4/4/1244-large_default.jpg";"http://boutique.variance.fr/img/p/1/2/4/4/1244-large_default.jpg";"http://action.metaffiliation.com/trk.php?maff=P488ED53FC3116S1U9467193219V3";"";"VR000109";"http://boutique.variance.fr/img/p/1/2/4/4/1244-large_default.jpg"
"753505313221";"String, Secrète idylle, Blanc";"16";"10,00";"8,33";"10,00";"0,00";"0,00";"€";"Mode & Accessoires > Lingerie > Femme";"1053703";"Root > Accueil > Lingerie";"http://action.metaffiliation.com/trk.php?mclic=P488ED53FC3116S1U9467193221V3";"";"VARIANCE";"3131681537671";"**L'invisible féminin by Variance !**String en maille opalescente ultra légère & tulle fantaisie féminin.**Nœoeud plat en gros grain sur le devant.**Picots fantaisie à la taille.**Un thème graphique, esprit smoking.**";"";"Livraison à domicile sous 48 à 72h (hors soldes) après préparation de la commande.";"";"4";"";"0";"0";"0";"0";"http://boutique.variance.fr/img/p/1/2/4/8/1248-large_default.jpg";"http://boutique.variance.fr/img/p/1/2/4/8/1248-large_default.jpg";"http://boutique.variance.fr/img/p/1/2/4/8/1248-large_default.jpg";"http://action.metaffiliation.com/trk.php?maff=P488ED53FC3116S1U9467193221V3";"";"VR000115";"http://boutique.variance.fr/img/p/1/2/4/8/1248-large_default.jpg"
"753505313223";"Boxer, Secrète idylle, Blanc";"17";"12,00";"10,00";"12,00";"0,00";"0,00";"€";"Mode & Accessoires > Lingerie > Femme";"1053703";"Root > Accueil > Lingerie";"http://action.metaffiliation.com/trk.php?mclic=P488ED53FC3116S1U9467193223V3";"";"VARIANCE";"3131681537770";"**Le quotidien invisible by Variance !**Boxer en maille opalescente ultra légère & tulle fantaisie féminin.**Noeud plat en gros grain sur le devant.**Picots fantaisie à la taille.**Un thème graphique, esprit smoking.**";"";"Livraison à domicile sous 48 à 72h (hors soldes) après préparation de la commande.";"";"9";"";"0";"0";"0";"0";"http://boutique.variance.fr/img/p/1/2/4/0/1240-large_default.jpg";"http://boutique.variance.fr/img/p/1/2/4/0/1240-large_default.jpg";"http://boutique.variance.fr/img/p/1/2/4/0/1240-large_default.jpg";"http://action.metaffiliation.com/trk.php?maff=P488ED53FC3116S1U9467193223V3";"";"VR000120";"http://boutique.variance.fr/img/p/1/2/4/0/1240-large_default.jpg"
